                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.1"                                 "CRMATH"                               "20241207"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                     101                                      550                  5.7709301032714745E+002                  1.4158517436492544E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  9.9999838684983788E-001                  9.9999838381959882E-001                  7.8130034948680570E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999838381959882E-001                  7.8130034948680570E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.9649002538388977E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9649002538388977E+001                 -1.9649002538388977E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5909247118022516E+000                  2.1021693520416482E+000                  1.3918884132808178E+000                  1.6542908007414976E+000                 -1.9924861145819842E-005                  1.0565379738605873E+001                 -3.1010053533247586E+000                  5.5431514657461074E+000                  6.2248357562229650E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  3.4468833607861553E-003                  9.3805276451495428E-003                  7.0000000000000073E-001                  2.7997020236474895E-001                                        0                                        3 
                                     102                                      555                  6.0418787233248793E+002                  1.4328869434837916E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  9.9999841831504144E-001                  9.9999838381959882E-001                  7.8130035170725175E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999838381959882E-001                  7.8130035170725175E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.9602858102677057E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9602858102677057E+001                 -1.9602858102677057E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5912813175616929E+000                  2.0982530836020188E+000                  1.3892170675421198E+000                  1.6596334922188931E+000                 -1.9493898976801581E-005                  1.0575143526882684E+001                 -3.0937083143316562E+000                  5.5456160647360608E+000                  6.2248094463474823E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  3.4468833607861553E-003                  9.3805276451495428E-003                  7.0000000000000073E-001                  2.7997020236474895E-001                                        0                                        3 
                                     104                                      553                  6.5881618395449527E+002                  1.4382998316315374E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  9.9999847075986892E-001                  9.9999838381959882E-001                  7.8130035170725175E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999838381959882E-001                  7.8130035170725175E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.9512181924630536E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9512181924630536E+001                 -1.9512181924630536E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5918301109366841E+000                  2.0899288391701663E+000                  1.3839573585762117E+000                  1.6701529101507095E+000                 -1.8645280646995401E-005                  1.0594378427146099E+001                 -3.0793319304212905E+000                  5.5504703848029751E+000                  6.2247579953518017E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  3.4468833607861553E-003                  9.3805276451495428E-003                  7.0000000000000073E-001                  2.7997020236474895E-001                                        0                                        3 
                                     106                                      553                  7.1472059249282233E+002                  1.4494314757932676E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  9.9999850252902389E-001                  9.9999845580426028E-001                  7.8130034948680570E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999845580426028E-001                  7.8130034948680570E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.9422466962629631E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9422466962629631E+001                 -1.9422466962629631E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5923977876432027E+000                  2.0817632663077101E+000                  1.3787392187319460E+000                  1.6805891898392407E+000                 -1.7844929152163186E-005                  1.0613473078402359E+001                 -3.0650590673398939E+000                  5.5552880537833520E+000                  6.2247073405140374E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  3.4468833607861553E-003                  9.3805276451495428E-003                  7.0000000000000073E-001                  2.7997020236474895E-001                                        0                                        3 
                                     108                                      553                  7.7228214901498677E+002                  1.4623330317196379E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  9.9999855119655490E-001                  9.9999852778892173E-001                  7.8130035170725175E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999852778892173E-001                  7.8130035170725175E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.9333146011066848E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9333146011066848E+001                 -1.9333146011066848E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5929605068296628E+000                  2.0735959792757117E+000                  1.3735301368430270E+000                  1.6910073536170789E+000                 -1.7079961990646485E-005                  1.0632547236950890E+001                 -3.0508002371195477E+000                  5.5600993078324299E+000                  6.2246570669114121E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  3.4468833607861553E-003                  9.3805276451495428E-003                  7.0000000000000073E-001                  2.7997020236474895E-001                                        0                                        3 
                                     110                                      557                  8.3159512688406164E+002                  1.4752899264048733E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  9.9999859777045530E-001                  9.9999852778892173E-001                  7.8130035170725175E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999852778892173E-001                  7.8130035170725175E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.9244118284452185E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9244118284452185E+001                 -1.9244118284452185E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5935621536705886E+000                  2.0655906141953841E+000                  1.3683241606210117E+000                  1.7014193060611094E+000                 -1.6353064805247107E-005                  1.0651622134686532E+001                 -3.0365395919533640E+000                  5.5649095206070864E+000                  6.2246070278576582E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  3.4468833607861553E-003                  9.3805276451495428E-003                  7.0000000000000073E-001                  2.7997020236474895E-001                                        0                                        3 
                                     112                                      556                  8.9263074564113322E+002                  1.4876645284278562E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  9.9999864516431269E-001                  9.9999861555490577E-001                  7.8130035170725175E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999861555490577E-001                  7.8130035170725175E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.9155540762296443E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9155540762296443E+001                 -1.9155540762296443E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5941008924495312E+000                  2.0573587832416660E+000                  1.3631307675862676E+000                  1.7118060921305978E+000                 -1.5651819449390413E-005                  1.0670663817360547E+001                 -3.0223025194579929E+000                  5.5697101277374701E+000                  6.2245572318597808E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  3.4468833607861553E-003                  9.3805276451495428E-003                  7.0000000000000073E-001                  2.7997020236474895E-001                                        0                                        3 
                                     114                                      559                  9.5550328767110921E+002                  1.5007312908848291E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  9.9999868952071502E-001                  9.9999861555490566E-001                  7.8130035170725175E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999861555490566E-001                  7.8130035170725175E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.9067308403865773E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9067308403865773E+001                 -1.9067308403865773E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5946727528042226E+000                  2.0492720110202249E+000                  1.3579436607661641E+000                  1.7221803057708045E+000                 -1.4985923605812487E-005                  1.0689694379544589E+001                 -3.0080725349959088E+000                  5.5745067290734944E+000                  6.2245075411185335E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  3.4468833607861553E-003                  9.3805276451495428E-003                  7.0000000000000073E-001                  2.7997020236474895E-001                                        0                                        3 
                                     116                                      562                  1.0203968571885827E+003                  1.5146358841498309E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  9.9999873595820143E-001                  9.9999870332088969E-001                  7.8130034948680570E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999870332088969E-001                  7.8130034948680570E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8979217835225565E+001                 -9.8999999999999986E+001                 -3.4919479497021818E+001                 -1.8979217835225565E+001                 -1.8979217835225565E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5952674179604740E+000                  2.0412652552774677E+000                  1.3527509525822816E+000                  1.7325657221385695E+000                 -1.4349701701829508E-005                  1.0708757568257960E+001                 -2.9938169396119223E+000                  5.5793103584548440E+000                  6.2244577606842544E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  3.4468833607861553E-003                  9.3805276451495428E-003                  7.0000000000000073E-001                  2.7997020236474895E-001                                        0                                        3 
